N (%),O (%),Fc (%),A (%),Ht (min),HT (oC),Nhc (%)
4.23,22.7,10.23,43.1,60,160,2.9
4.23,22.7,10.23,43.1,60,180,2.24
4.23,22.7,10.23,43.1,30,200,1.94
4.23,22.7,10.23,43.1,60,200,1.74
4.23,22.7,10.23,43.1,90,200,2
4.23,22.7,10.23,43.1,120,200,2.04
4.23,22.7,10.23,43.1,60,220,1.98
4.23,22.7,10.23,43.1,90,240,1.91
4.34,24.62,5.14,34.19,600,160,2.59
4.34,24.62,5.14,34.19,600,180,2.31
4.34,24.62,5.14,34.19,600,200,2.02
4.34,24.62,5.14,34.19,600,220,1.85
4.34,24.62,5.14,34.19,600,240,2.21
5.5,22.8,1.42,28.6,240,200,2.1
5.5,22.8,1.42,28.6,360,200,2.1
5.5,22.8,1.42,28.6,480,200,2.2
5.5,22.8,1.42,28.6,600,200,2.2
5.5,22.8,1.42,28.6,720,200,2.2
8.85,14.61,2.03,18.7,15,180,9.08
8.85,14.61,2.03,18.7,30,180,8.98
8.85,14.61,2.03,18.7,45,180,9.08
8.85,14.61,2.03,18.7,15,200,9.29
8.85,14.61,2.03,18.7,30,200,9.04
8.85,14.61,2.03,18.7,45,200,7.98
8.85,14.61,2.03,18.7,15,220,9.03
8.85,14.61,2.03,18.7,30,220,8.24
8.85,14.61,2.03,18.7,45,220,8.73
8.85,14.61,2.03,18.7,15,240,8.95
8.85,14.61,2.03,18.7,30,240,8.19
8.85,14.61,2.03,18.7,45,240,8.51
3.83,29.14,3.2,41.8,60,220,2.56
5.29,24.75,3.9,27.54,240,140,4.56
5.29,24.75,3.9,27.54,60,160,4.5
5.29,24.75,3.9,27.54,120,160,4.31
5.29,24.75,3.9,27.54,240,160,3.62
5.29,24.75,3.9,27.54,30,180,4.11
5.29,24.75,3.9,27.54,60,180,3.8
5.29,24.75,3.9,27.54,120,180,2.81
5.29,24.75,3.9,27.54,240,180,2.75
5.29,24.75,3.9,27.54,15,200,3.14
5.29,24.75,3.9,27.54,30,200,3.04
5.29,24.75,3.9,27.54,60,200,2.75
5.29,24.75,3.9,27.54,120,200,2.65
5.29,24.75,3.9,27.54,240,200,2.55
4.35,21.15,8.27,40.6,240,200,2.32
8.05,20.88,7.07,26.06,30,180,7.18
8.05,20.88,7.07,26.06,30,200,7.04
8.05,20.88,7.07,26.06,30,220,6.1
8.05,20.88,7.07,26.06,30,250,6.14
8.05,20.88,7.07,26.06,30,280,4.94
7.15,26.31,7.56,20.91,30,220,3.88
5.04,22.93,8.14,33.32,30,160,4.19
5.04,22.93,8.14,33.32,30,220,2.01
5.04,22.93,8.14,33.32,30,250,4.23
4.17,25.36,5.82,17.43,240,140,2.43
4.17,25.36,5.82,17.43,240,170,1.96
4.17,25.36,5.82,17.43,240,190,1.97
4.17,25.36,5.82,17.43,240,200,1.88
4.86,16.05,2.66,49.85,30,180,1.64
4.86,16.05,2.66,49.85,30,220,1.32
4.86,16.05,2.66,49.85,30,260,1.56
4.86,16.05,2.66,49.85,30,300,1.12
4.86,16.05,2.66,49.85,60,260,1.59
